,Feature_Name,Score
41, Min Packet Length,1951601.1838202723
10, Fwd Packet Length Min,1698428.0384921287
56, Avg Fwd Segment Size,916132.1876072083
11, Fwd Packet Length Mean,915866.5787278076
55, Average Packet Size,400123.1510496054
43, Packet Length Mean,374076.0617767216
81, Inbound,322534.74617608194
2, Protocol,90069.99789032721
54, Down/Up Ratio,63332.59251106653
51, URG Flag Count,49643.290963581654
9, Fwd Packet Length Max,49576.421384175585
1, Destination Port,42740.77245269444
14, Bwd Packet Length Min,25023.825768641862
19, Flow IAT Mean,17558.454491938788
52, CWE Flag Count,16223.345432227672
69,Init_Win_bytes_forward,12857.555570876591
17,Flow Bytes/s,11866.577020797533
57, Avg Bwd Segment Size,11678.528043118013
15, Bwd Packet Length Mean,11678.52804311801
33,Fwd PSH Flags,10471.939511574019
48, RST Flag Count,10471.939511574019
44, Packet Length Std,9841.327254298467
50, ACK Flag Count,8765.989383090442
24, Fwd IAT Mean,7868.684972182852
32, Bwd IAT Min,7687.271647215433
